train_count,test_count,category,model,mae,rmse,r2
8000,2000,经典回归,"LinearSVR (C=0.1,eps=0.01)",0.2677661522583113,0.4358543744894421,0.7486251145779675
8000,2000,经典回归,"LinearSVR (C=0.1,eps=0.05)",0.2677560266452997,0.43344612275794714,0.751395312993627
8000,2000,经典回归,"LinearSVR (C=1.0,eps=0.01)",0.26773209470496173,0.43505516880477624,0.7495461380137622
8000,2000,经典回归,"LinearSVR (C=1.0,eps=0.05)",0.26772264943021745,0.43353840648747904,0.7512894423501222
8000,2000,经典回归,"LinearSVR (C=10.0,eps=0.01)",0.2678209785049928,0.4375602394380986,0.7466535810498172
8000,2000,经典回归,"LinearSVR (C=10.0,eps=0.05)",0.26776265101543195,0.4335442274736675,0.7512827635857104
8000,2000,经典回归,"RandomForest (n=100,depth=None,leaf=1)",0.06277156481027779,0.12230312977966358,0.9802068822114919
8000,2000,经典回归,"RandomForest (n=100,depth=None,leaf=2)",0.061026314539628555,0.1181246953806579,0.981536226222841
8000,2000,经典回归,"RandomForest (n=100,depth=12,leaf=1)",0.060205985697938676,0.11620749281829106,0.9821307086426219
8000,2000,经典回归,"RandomForest (n=100,depth=12,leaf=2)",0.0595484203553508,0.1147416226202726,0.982578680659349
8000,2000,经典回归,"RandomForest (n=100,depth=24,leaf=1)",0.06275755578855659,0.12226613565730801,0.9802188544035471
8000,2000,经典回归,"RandomForest (n=100,depth=24,leaf=2)",0.061023967901427424,0.11811745117718155,0.981538490799818
8000,2000,经典回归,"RandomForest (n=200,depth=None,leaf=1)",0.0625985964654938,0.12205624113028252,0.9802867127740194
8000,2000,经典回归,"RandomForest (n=200,depth=None,leaf=2)",0.06075212028306741,0.11751816971953392,0.9817253484361129
8000,2000,经典回归,"RandomForest (n=200,depth=12,leaf=1)",0.06007547725033114,0.11593052820037188,0.9822157851468936
8000,2000,经典回归,"RandomForest (n=200,depth=12,leaf=2)",0.059352124613284346,0.11427156143365103,0.9827211278684781
8000,2000,经典回归,"RandomForest (n=200,depth=24,leaf=1)",0.06258142169111194,0.12200160559309962,0.9803043571807354
8000,2000,经典回归,"RandomForest (n=200,depth=24,leaf=2)",0.060748790996118615,0.11751082668486593,0.9817276321205487
8000,2000,经典回归,"RandomForest (n=300,depth=None,leaf=1)",0.06250137998536764,0.12157910301141282,0.9804405365517359
8000,2000,经典回归,"RandomForest (n=300,depth=None,leaf=2)",0.060636454894511214,0.11711379716420475,0.9818508958932923
8000,2000,经典回归,"RandomForest (n=300,depth=12,leaf=1)",0.06005721170078934,0.1157217333864591,0.9822797874082854
8000,2000,经典回归,"RandomForest (n=300,depth=12,leaf=2)",0.059294227938700775,0.11396701423076326,0.9828131056077468
8000,2000,经典回归,"RandomForest (n=300,depth=24,leaf=1)",0.06248434565539533,0.12152829619460981,0.9804568805847336
8000,2000,经典回归,"RandomForest (n=300,depth=24,leaf=2)",0.06063321912480023,0.1171067702928388,0.981853073733941
8000,2000,经典回归,"ExtraTrees (n=100,depth=None,leaf=1)",0.06513513834614781,0.12889902393155914,0.9780143998734604
8000,2000,经典回归,"ExtraTrees (n=100,depth=None,leaf=2)",0.06073353625906569,0.11723518650196124,0.9818132530271111
8000,2000,经典回归,"ExtraTrees (n=100,depth=12,leaf=1)",0.05754461338955379,0.11188745369023567,0.9834346030158042
8000,2000,经典回归,"ExtraTrees (n=100,depth=12,leaf=2)",0.05689072399689208,0.11019280873893239,0.9839326011909851
8000,2000,经典回归,"ExtraTrees (n=100,depth=24,leaf=1)",0.06503529035461154,0.12880375081086085,0.9780468882906154
8000,2000,经典回归,"ExtraTrees (n=100,depth=24,leaf=2)",0.06072425594597193,0.11721964336852404,0.9818180751339294
8000,2000,经典回归,"ExtraTrees (n=200,depth=None,leaf=1)",0.06513068239501732,0.12892900657108242,0.9780041707348927
8000,2000,经典回归,"ExtraTrees (n=200,depth=None,leaf=2)",0.06114040798912096,0.11741728747137291,0.9817567103375806
8000,2000,经典回归,"ExtraTrees (n=200,depth=12,leaf=1)",0.05752794484645786,0.11194897654385295,0.9834163805850116
8000,2000,经典回归,"ExtraTrees (n=200,depth=12,leaf=2)",0.057366651842713536,0.11030767148186015,0.9838990870733291
8000,2000,经典回归,"ExtraTrees (n=200,depth=24,leaf=1)",0.06503588805767338,0.12880220214681426,0.9780474161912427
8000,2000,经典回归,"ExtraTrees (n=200,depth=24,leaf=2)",0.06114475961920722,0.11741159998577845,0.9817584776401038
